review_id,text,actual_stars,s1_pred,s1_expl,s2_pred,s2_expl,s3_pred,s3_expl
0,"We got here around midnight last Friday... the place was dead. However, they were still serving food and we enjoyed some well made pub grub. Service was friendly, quality cocktails were served, and the atmosphere is derived from an old Uno's, which certainly works for a sports bar. It being located in a somewhat commercial area, I can see why it's empty so late on a Friday. From what my friends tell me - this is a great spot for happy hour, and it stays relatively busy thru 10pm.

*UPDATE - Great patio for day-drinking on the weekends!",4,0,Error: llama runner process has terminated: CUDA error (status code: 500),4,"Mostly positive review with praise for food, service, drinks, and atmosphere. Acknowledges slow business late at night but highlights happy hour popularity.",0,Error: Extra data: line 5 column 1 (char 1022)
1,Brought a friend from Louisiana here.  She says that the crawfish etouffee here is the best she's had outside of Louisiana!,5,5,"The reviewer received rave praise from a discerning Louisiana native about the crawfish etouffee, indicating high satisfaction.",5,Highly positive sentiment expressed through a recommendation from an expert (someone familiar with crawfish etouffee).,0,Error: Extra data: line 5 column 1 (char 667)
2,"Every friday, my dad and I eat here. We order the same thing... pizza wraps. they are good and fillng. iced tea hits the spot. Typical strip mall pizza.",3,0,Error: Extra data: line 5 column 1 (char 199),4,Positive sentiment with some caveats. They enjoy their regular meal but acknowledge it's standard fare.,0,Error: Invalid control character at: line 3 column 52 (char 77)
3,"My husband and I were really, really disappointed with our experience at Coulter Infiniti.  We brought our 2006 G37 with barely 34,000 miles (and out of warranty) to have the moon roof looked at.  The moon roof wouldn't open or close, but you could hear the motor working.

After leaving the car there all day we get a call that the car needs a whole new moon roof track - which would cost over $3000.  We contacted their corporate office to attempt to get some or all of the cost covered, due to the fact that it's a big repair and the car  is barely out of warranty.  We were flat out denied.  Twice.  

We were dreading the big repair, and decided to bring the car to a different auto shop (which will get a big, fat 5 star review) for a second opinion.  Turns out the track just had a BUILD UP OF DIRT AND DEBRIS and needed to be cleaned out.  Seriously?!?!  Just over $100 later we were on our way!

I find it VERY hard to believe that Coulter didn't know this was the problem.  We are now searching for a new SUV, and will not be choosing Infiniti.  How disappointing.",1,1,The reviewer expresses extreme dissatisfaction with Coulter Infiniti's diagnosis and pricing. They feel the dealership overcharged for a simple cleaning issue and were unhelpful when seeking corporate assistance. The negative experience will lead them to avoid Infiniti in the future.,1,The review expresses extreme dissatisfaction with Coulter Infiniti's service. They were overcharged for a simple cleaning that could have been done at a fraction of the cost. The customer feels misled and will not return to Infiniti in the future.,1,"This review is overwhelmingly negative. Here's a breakdown:

**Negative Aspects:**
* **Excessively high repair estimate:** $3000 for a moon roof track seems unreasonable, especially considering the car's low mileage.
* **Refusal to cover costs:** The denial of coverage from both the dealership and corporate office despite the car being relatively new is a major red flag.
* **Misdiagnosis:** The second opinion revealed a simple cleaning solution instead of a costly replacement, implying incompetence or negligence on Coulter Infiniti's part.
* **Loss of trust:** The customer explicitly states they won't buy Infiniti in the future due to this experience.

**Positive Aspects:**
* None are apparent in this review. The reviewer expresses only disappointment and frustration.

The severity of the issues described, particularly the misdiagnosis and lack of support from the dealership, warrant a very low star rating."
4,"Love this place!  Was in phoenix 3 weeks for work.  Ate here 3 times.  The squid salad is amazing!  They also have sushi, bibimbap, and tons of other items.  Must try!",5,5,"The reviewer expresses strong positive sentiment using words like 'love,' 'amazing,' and 'must try.' They visited multiple times during their stay.",5,Highly positive sentiment expressed through enthusiastic language and repeated visits.,0,Error: Extra data: line 5 column 1 (char 755)
5,"This hotel is in a good location for getting to the sports venues downtown, the convention center or to just be in the heart of the city. Granted, it is about a 7 block walk to most of those places, but the lower price and FREE parking definitely make it worthwhile. I usually stay in Scottsdale when i am here for spring training, but I was here for a conference and walked to the convention center each day with no problems. It made sense to be downtown instead of Scottsdale. The hotel is clean, the rooms are nice and big and the free breakfast is decent. I did not visit the pool, so I cannot comment on it. Someone mentioned the area being shady, i walked to and from here at least twice a day including late night and never felt it was a bad area. Also, the review about passing cars was not an issue for me. I was on the street side and I'm a light sleeper. Maybe their window was open?  i do agree that you can hear your neighbors in the bathroom, slightly annoying. In, summary - this hotel is a great choice and if the need arises, I'd stay again.",4,0,Error: Extra data: line 5 column 1 (char 326),4,"Overall positive review highlighting good location, price, cleanliness, and room size. Minor negatives mentioned include distance to attractions, noise from neighbors, and potential for street noise but are outweighed by the positives.",4,"This review is overwhelmingly positive.  Here's a breakdown:

**Positive Aspects:**
* **Location:** The reviewer highlights the hotel's convenient location for accessing downtown attractions, the convention center, and sports venues, even if it's a short walk.
* **Value:**  The lower price and free parking are major selling points for the reviewer.
* **Cleanliness & Room Quality:** The hotel is described as clean, with nice and big rooms.
* **Breakfast:** The free breakfast is considered decent.
* **Safety:** The reviewer feels safe walking to and from the hotel at various times of day, addressing concerns raised in other reviews.

**Negative Aspects:**
* **Noise:**  The reviewer mentions hearing neighbors in the bathroom, which they find slightly annoying.
* **Potential for Traffic Noise:** While the reviewer didn't experience it, they acknowledge that some guests might be bothered by passing cars.

**Overall:** The positive aspects significantly outweigh the negative ones. The reviewer clearly recommends the hotel and would stay there again. A 4-star rating seems appropriate."
6,"I love that this place has top seafood plates and choices. The services is hit and miss but once i went in with three friends and we sat at the sushi bar and they saw we weren't getting service they grabbed our order right away. Happy hour is good and drinks aren't expensive anyhow so drinkers celebrate! Cherry roll (i do it without sauce), octopus, anything with their eels, i love the quality of salmon as well. The best part is that FOOD IS SERVED TILL 2AM!!",4,4,"The reviewer clearly enjoys the food, particularly the seafood and sushi options. While they mention inconsistent service, a positive experience at the sushi bar and happy hour deals contribute to an overall positive sentiment.",4,"Positive feedback on food quality and variety, particularly seafood dishes. Acknowledges service inconsistency but highlights a positive experience at the sushi bar. Mentions happy hour deals and late-night serving hours.",0,Error: Invalid control character at: line 3 column 96 (char 121)
7,Awesome if you like ramen...even awesomer if you like boba tea!!!,4,0,Error: Extra data: line 5 column 1 (char 173),5,Highly enthusiastic and positive language.,5,"The review uses very positive language such as 'Awesome' and 'awesomer' indicating a high level of satisfaction. The reviewer explicitly states they love both ramen and boba tea, suggesting the restaurant excels at serving both dishes. The enthusiastic tone suggests a very positive experience."
8,"Great place for a ""home office"" morning. One of my favorite places - indoor & outdoor seating. Always busy - they offer breakfast & lunch, their food is awesome! Very generous portions.",5,0,Error: Extra data: line 5 column 1 (char 178),5,"Highly positive review with praise for atmosphere, food quality, and portion sizes.",4,"Here's a breakdown of the review:

**Positive Aspects:**
*  ""Great place for a ""home office"" morning."" - Implies a comfortable and conducive environment for work.
*  ""One of my favorite places"" - Strong positive sentiment and personal preference.
*  ""Indoor & outdoor seating"" - Offers flexibility and choice for customers.
*  ""Always busy"" - Suggests popularity and demand, which can be seen as a positive indicator.
*  ""They offer breakfast & lunch, their food is awesome!"" - Clearly expresses satisfaction with the menu and quality.
*  ""Very generous portions"" -  Highlights value for money.

**Negative Aspects:**
* None explicitly stated. The reviewer focuses entirely on positive aspects.

**Overall:** The review is overwhelmingly positive, praising the atmosphere, food, service, and value. The only potential drawback is the 'always busy' aspect, which might be a negative for some seeking a quiet setting.  However, the reviewer's clear enjoyment outweighs this minor consideration."
9,"1 star for service, but the food is not ok :( they literally put 4 pieces of chicken on my taco. I let that go & figured was a mistake. When I went again, ordered different item & same result. Little to no meat. I will not be going back.",1,0,Error: Extra data: line 5 column 1 (char 274),1,Extremely negative feedback on service and portion sizes. Customer expresses disappointment and states they will not return.,2,"This review highlights a significant issue with the portion sizes of the food. The reviewer expresses dissatisfaction with receiving 'little to no meat' on multiple occasions despite ordering different items. This suggests a consistent problem with the restaurant's preparation rather than a one-off error. 

However, the reviewer only awards 1 star for service and doesn't provide any details about the quality of the food itself beyond the meat quantity.  It's possible the taste was satisfactory, just lacking in quantity.

Overall, the primary concern seems to be the portion size, which is a major factor in dining satisfaction.  A 2-star rating reflects this significant drawback while acknowledging there might be other aspects of the dining experience that aren't explicitly negative."
10,"Good food and able to manage a large group easily. Our party had 11 and there wasn't a long wait at all. Highlights: spinach and artichoke dip, onion rings, and tortilla soup. Total tab was only $160 for the whole group.",4,0,Error: Extra data: line 5 column 1 (char 256),4,"Positive review highlighting good food, efficient service for a large party, and reasonable cost.",0,Error: Extra data: line 5 column 1 (char 582)
11,"This place is great!
If you talk to anybody they have a suggestion for a great flavor.
You can bring in food from another place to enjoy and just enjoy a great atmosphere.
With the music that someone has an issue with you can just talk to the DJ to get a suggestion they are MORE than accommodating.
They have a great happy hour prices! 
Overall great prices, great people, and a great time! If you have the right mind :)",5,0,Error: Extra data: line 5 column 1 (char 221),5,"Overwhelmingly positive sentiment with praise for atmosphere, staff, music, and value.",4,"Here's a breakdown of the review:

**Positive Aspects:**
* **Friendly and helpful staff:** The reviewer mentions that everyone has flavor suggestions and the DJ is accommodating.
* **Good atmosphere:** The reviewer describes the atmosphere as great.
* **BYOF (Bring Your Own Food):**  The reviewer highlights the ability to bring in food from elsewhere, which can be a big plus for some.
* **Happy hour deals:** The reviewer specifically mentions great happy hour prices.
* **Overall positive experience:** The reviewer uses strong positive language like 'great,' 'amazing,' and 'enjoyable' throughout the review.

**Negative Aspects:**
* **Music preference:**  The reviewer acknowledges that some people might have an issue with the music, but frames it as something easily addressed by talking to the DJ.
* **Subjective statement:** The phrase 'If you have the right mind :)' could be interpreted as implying that the establishment is not for everyone, which could be a minor negative depending on the target audience.

**Overall Impression:** The review is overwhelmingly positive. While there's a slight mention of potential music issues, it's presented as easily resolvable and doesn't detract significantly from the overall experience. The reviewer clearly enjoyed their time and recommends the place."
12,Air Jordan! need I say more?,3,0,Error: Extra data: line 5 column 1 (char 189),5,Highly positive and enthusiastic language.,5,"This review is overwhelmingly positive.  

**Positive Aspects:**
* **Simple and Direct Expression of Approval:** ""Air Jordan! need I say more?"" conveys a strong sense of enthusiasm and satisfaction.
* **Brand Recognition:** The mention of ""Air Jordan"" immediately implies a well-known and highly regarded product, suggesting positive expectations.
* **Conciseness:** The brevity of the review adds to its impact. It leaves no room for ambiguity about the reviewer's feelings.

**Negative Aspects:** 
* **Lack of Detail:** The review provides no specific information about the product itself, which might leave potential buyers wanting more details.

Overall, the passionate and enthusiastic tone strongly suggests a 5-star rating. "
13,"There are many other reviews which extol the virtues of this location. I just wanted to add some of my experiences as well as a few observations.

First off, at the time of this writing I've been in Phoenix for about a year. Learning about all the necessary places to go in a new town, I had the opportunity to rate businesses objectively (not like 'My mom always went there so I do too...')

Fry's became a standard 'go to' place. Their hours are great (5 AM to 1 AM). There are many locations, and their prices are very competitive. They also have a convenient VIP card and electronic coupon program.

Specifically to my needs, this location has a good pharmacy, an organic/health selection and a well stocked bakery and deli (for parties and special occasions). Their parking is reasonable and the lot is well kept/secure. There's also a Chase branch nearby as well as a Best Buy, Staples and Old Navy. On Wednesdays there's a Farmer's Market just across the street for everything else I can't find here.

Not all Fry's carry the same things. For instance, I can only depend on this location to carry pita bread, garlic naan, large Fage yogurt as well as the Mexican version of creme fraiche. I appreciate this greatly.

One word of caution, be firm with the staff at the deli. Take a number, insist on their attention, and don't let them gyp you with small wings or the bottom of the pasta selection. I know some of them don't care about their job, but don't let that ruin your experience. Remember: they're probably making minimum wage.

Oh, and the other reviewer's comment about the parking is accurate, although I'm not sure what they can do about it as this is a mall complex.",4,4,"The review is overwhelmingly positive, highlighting Fry's competitive prices, convenient hours and location, well-stocked departments, and helpful staff. The author acknowledges some minor issues with the deli but ultimately recommends the store.",4,"Mostly positive review highlighting many aspects like hours, selection, and convenience.  Some cautionary advice about deli staff but overall a favorable impression.",4,"This review is overwhelmingly positive. The reviewer highlights several aspects they appreciate: 

* **Convenience:** Great hours, multiple locations, competitive prices, VIP card program.
* **Product Selection:** This particular location has a good pharmacy, organic/health section, well-stocked bakery and deli, and carries specific items the reviewer values.
* **Additional Amenities:**  Nearby businesses like Chase, Best Buy, Staples, and Old Navy, plus a Wednesday farmer's market across the street.
* **Well-maintained Facilities:** Reasonable parking and a secure lot.

The only negative points raised are:

* The reviewer advises being firm with deli staff due to potential apathy or understaffing.
*  They acknowledge the parking situation is an issue, but suggest it's beyond the store's control.

Overall, the numerous positives outweigh the minor negatives, justifying a 4-star rating."
14,"TJ was there for me when my water heater broke and started flooding my garage.  He walked me through fixing it over the phone until he was able to send some help to my house.  Very grateful, and I will continue referring!",5,5,The reviewer expresses extreme gratitude for TJ's help during a stressful situation. The use of words like 'very grateful' and 'continue referring' strongly indicate a positive sentiment.,5,Highly positive sentiment expressing gratitude for exceptional customer service during an emergency.,0,Error: Extra data: line 5 column 1 (char 577)
15,"So I was pretty excited about this burger joint opening since it's President Obama's favorite... 
The burger was good. Not great, not bland, just okay. My biggest hang up with this restaurant are the prices! Skip the beverage... it's very over priced. I was also not impressed with the fries- regular or cajun. They were pretty average as well. Stick with the burger and skip the rest is my suggestion to you.",2,0,Error: Extra data: line 5 column 1 (char 208),3,Mixed review. Positive about the burger but negative about the prices and sides. Overall sentiment leans towards average.,0,Error: Extra data: line 5 column 1 (char 582)
16,"I really don't consider myself a Neiman's type of girl...
As a matter of fact, I don't really feel comfortable in Neiman's - it's extremely 'fancy' and high end for me.  But, I've gone in a handful of times and even bought a dress or two on sale at Neiman's in the past.  I admit, the quality associated with the designer labels at this store is pretty amazing.

Anyways, I felt some major pressure to register at Neiman's from my mom, so I met my mother-in-law-to-be at this Neiman's location on Sunday.  The housewares / registry department is extremely small... and although the woman working was sweet, she botched the spelling of Jared's name in the process.  Needless to say, i was not so impressed.

Fancy sums this department store up in my eyes - I'm much more of a Nordstrom's or Macy's or Bloomingdales type of girl!",4,0,Error: Extra data: line 5 column 1 (char 224),2,"Mixed sentiment. While the reviewer acknowledges the quality of the products, they express discomfort with the environment and have negative experiences with the registry department.",0,Error: Invalid control character at: line 3 column 57 (char 82)
17,"I have been trying to reduce my caloric intake and found out that at Red Robin you can order a ""petite"" burger. It is smaller but has the same toppings you order on the regular. So for those of you that don't want to have a burger that is 1000 calories (yes they are and more with the endless fries) , try the petite.",4,4,"The reviewer expresses satisfaction with finding a smaller burger option that allows them to manage their calorie intake. While acknowledging the calorie-dense nature of the regular burgers, they recommend the 'petite' option positively.",4,Positive review focused on a healthier option available at Red Robin.,0,Error: Invalid control character at: line 3 column 51 (char 75)
18,Great pizza and awesome must have guacamole pizza appitizer!!!!,5,5,"The reviewer uses enthusiastic language like 'great,' 'awesome,' and multiple exclamation points to express their positive sentiment.",5,Strong positive sentiment with enthusiasm for both pizza and a specific appetizer.,4,"Here's a breakdown of the review:

**Positive Aspects:**
* **'Great pizza'**: This is a clear positive statement indicating satisfaction with the main dish.
* **'Awesome must have guacamole pizza appetizer'**:  The reviewer expresses strong enthusiasm for the appetizer, using words like 'awesome' and 'must have'. This suggests a high level of enjoyment.

**Negative Aspects:**
*  There are no explicitly stated negative aspects in this review.

**Overall Impression:** The reviewer seems very happy with their experience, particularly highlighting the pizza and the guacamole appetizer. The enthusiastic language suggests a positive dining experience. Therefore, a 4-star rating seems appropriate."
19,"This is a quaint little airport which is very convenient if you are travelling to the Tempe/Mesa area, or already know people who live there.  I say it's convenient-- if you are flying in from Grand Island or Grand Forks or Rapid City or East Bugtussel, since the only commercial tenant at this decomissioned air force base is Allegiant Airlines, which specializes in flying you from nowhere to somewhere (Phoenix, Las Vegas, Orlando that sort of thing).  

But from landing to sitting in my rental car it was maybe 20 minutes tops and I was heading out to lunch in the Phoenix area (don't bother with purchasing the ""snacks"" on the flight, just make sure you are prepared beforehand).",5,0,Error: Extra data: line 5 column 1 (char 232),3,"Mixed review, highlights convenience but criticizes limited flight options and suggests bringing own food.",0,Error: Invalid control character at: line 3 column 50 (char 77)
20,"Headed back to Lobby's. How I missed this tasty burger. I wasn't disappointed with round 2. The burger was still fantastic! I'm also happy that the fries were a little bit less salty than my previous trip. 

With any burger purchase, getting the combo pack (fries/soda) is the smart choice.

I do wish that they would lose the styrofoam soda cups and offer more than one size of drinks.

Make sure to grab plenty of napkins before you sit down. The burger can make a mess with the homemade sauce dripping off the meat and bun. That's a good thing in my opinion!",5,4,"The reviewer expresses strong positive sentiment about the burger and fries, mentioning they were 'fantastic' and less salty respectively. While they offer minor critiques regarding the drink options and packaging, their overall tone is enthusiastic and recommends the combo pack.",4,"Overall positive review highlighting delicious food, but also mentioning minor drawbacks like styrofoam cups and lack of drink size options.",0,Error: Extra data: line 5 column 1 (char 750)
21,"Simple but really great cajun food prepared in steamers right in front of you.  Selections include gumbo, pan roasts (a tomato-based broth with chunks of seafood), or seafood creole all with your choice of shrimp, crab, chicken, crawfish, oysters, or all five, with rice. They also have fresh oysters, jumbo shrimp cocktails, salads, and tasty seafood chowder, as well as the occasional lobster special. I've been probably 20 times and still never had a bad dish. The staff is friendly and helpful, and will adjust the spiciness of the dishes to your taste. By far the best option at the Talking Stick resort.

As another reviewer noted, this restaurant is really just a bar with a couple of tables, stuck right off the casino floor. This is definitely not a fine dining spot, with the clanging of slot machines and dead-eyed gamblers shuffling around fifteen feet away. Still, it's definitely worth a visit to Talking Stick. At $10-12 for lunch portions and $17-19 for huge dinner servings, and $25 for a massive platter of oysters, shrimp, crab, mussels, and clams, it's a fantastic value for the quality and tastiness of the food.  Good, reasonably priced seafood can be hard to come by in the valley, but this spot is a gem.",5,5,"The review uses overwhelmingly positive language to describe the food, service, and value. The reviewer highlights specific dishes they enjoy, mentions returning frequently, and calls it 'a gem'.",5,"Overwhelmingly positive review praising the quality, taste, value, and service of the food. Minor criticisms about ambiance are outweighed by strong positive sentiment.",4,"This review is overwhelmingly positive. Here's a breakdown:

**Positive Aspects:**
* **Delicious Food:** The reviewer repeatedly emphasizes the quality and tastiness of the food, using phrases like 'really great cajun food,' 'never had a bad dish,' 'fantastic value,' and 'gem.' They specifically mention enjoying gumbo, pan roasts, seafood creole, oysters, shrimp cocktail, chowder, and even occasional lobster specials.
* **Customization:** The reviewer appreciates the staff's willingness to adjust the spiciness of dishes to their preference.
* **Great Value:** The reviewer highlights the affordability of the food, particularly considering the generous portions.

**Negative Aspects:**
* **Location & Ambiance:** The reviewer acknowledges that the restaurant is located in a casino and lacks a fine dining atmosphere. They describe it as 'a bar with a couple of tables' surrounded by slot machines and gamblers. 

**Overall:** Despite the less-than-ideal location, the overwhelmingly positive comments about the food, service, and value clearly outweigh the negative aspects. The reviewer's frequent visits (20 times!) and continued enjoyment strongly suggest a highly recommended experience.  A 4-star rating seems appropriate."
22,"Staff was very rude, bowling prices weren't displayed to the best of their ability, extreme bowling itself was over priced almost $20 per person. The only thing about their extreme bowling was that it was extremely hot, temperature wise. they had many ceiling fans and not one of them turned on. And the bowling equipment malfunctioned three times during our games. It was not a pleasant experience and I don't believe we'll be going to this facility again.",1,1,"The review is overwhelmingly negative, citing rude staff, unclear pricing, high prices, excessive heat, and malfunctioning equipment. The reviewer expresses clear dissatisfaction and states they won't return.",1,"Multiple negative aspects mentioned: rude staff, unclear pricing, overpriced bowling, malfunctioning equipment, uncomfortable temperature.",0,Error: Extra data: line 5 column 1 (char 977)
23,"The staff is really helpful.  I arrived without credit card due to a travel mishap and they were great about providing assistance to get me to a bank to help clear things up.  Their bell staff is friendly and knowledgable.  They can and will get you anywhere in town.  

Room was okay.  Clean, well furnished and updated.  I had a window overlooking the courtyard and I would recommend avoiding that.  It can get a little loud at night.  

Banquet food was good.  Not great, but good and plentiful.  Good variety of dishes for everyone from salads and sandwiches to hot dishes.  A few of the items were a little salty for my taste but with a buffet style service, if something didn't suit, you could replace it with something else.  The break service was astonishing--they really go all out!  

If you are visiting during the right weather, do not miss the pool area.  It's fantastic!",4,4,"The review is overwhelmingly positive, highlighting helpful staff, good food, and a great pool area. Minor complaints about noise and saltiness are outweighed by the overall praise.",4,"Mostly positive review highlighting helpful staff, good banquet food and service, and a great pool area. Some minor drawbacks mentioned about the room location and noise level.",0,Error: Invalid control character at: line 3 column 92 (char 116)
24,"Someone asked the question in the Yelp talk threads where the best place was for fried things, like french fries and onion rings.  Several people said Ted's had great onion rings......so off I went!  

I expected a smaller place but I was pleasantly suprised when I pulled up to a medium sized store.  I was greated with a smile and asked what I would like.  It was a Sunday afternoon so they were not very busy.  I liked the fact that you tell them what you want and they toss it on the grill right in front of you.  Everything is freshly cooked.  They did the same with the onion rings and french fries too.  Everything was fresh and hot.  My daughter had her favorite....a hot dog, which she loved, and fries which were fresh and crisp.  I had a burger and onion rings.  Yes, the onion rings were delicious!  The batter was great and the onions were a little on the sweet side.  My burger was cooked to perfection.  

This is another great little place we will go back to.  It's also sort of near my work so maybe I'll get out one day and go here for lunch.  Thanks Ted's and Yelpers!",4,5,"The reviewer expresses overwhelmingly positive sentiment, highlighting the freshness of food, friendly service, and delicious onion rings and burgers. They clearly enjoyed their experience and intend to return.",5,"The review is overwhelmingly positive, praising the food quality, service, and atmosphere. The reviewer expresses strong satisfaction with their meal and explicitly states they will return.",4,"This review is overwhelmingly positive. Here's a breakdown:

**Positives:**
* **Highly recommended by Yelp:** The reviewer mentions the recommendation from the Yelp community, lending credibility.
* **Pleasant atmosphere:**  They were greeted with a smile and appreciated the uncrowded atmosphere.
* **Freshly cooked food:**  The reviewer emphasizes that everything is cooked to order on a grill, highlighting freshness.
* **Delicious onion rings:** The review specifically praises the onion rings as being delicious, with a good batter and slightly sweet onions. 
* **Well-cooked burger:** The burger was cooked to perfection according to the reviewer.
* **Daughter's approval:** The daughter enjoyed her hot dog and fries, indicating satisfaction across the menu.
* **Intent to return:** The reviewer explicitly states they will be returning, showing strong satisfaction.

**Negatives:**
*  The only slight negative is a minor surprise at the size of the establishment â€“ expecting it smaller. This doesn't seem to impact their overall experience.

 **Overall:** The review highlights delicious food, a pleasant atmosphere, and fresh cooking, making it a highly positive experience. The 4-star rating reflects the strong positives with only a minor, unimpactful neutral point."
25,"After browsing at the Bookman's next door, we were feeling hungry and were tempted by the notion of tasty burritos.  We ended up getting non-burrito meals, but were fully satisfied with our entrees.  The green chile plate was filled with perfectly cooked pork with a spicy tomatillo sauce that went well with the pork.  The horchata tasted freshly made and was very refreshing and light.  Overall, I think Big Burrito is a good option for those that want a filling meal without breaking your wallet.",4,0,Error: Extra data: line 5 column 1 (char 217),4,"Positive review highlighting tasty food, good value, and satisfaction.",0,Error: Extra data: line 5 column 1 (char 921)
26,Prices are often way too high!,1,2,The reviewer expresses strong negative sentiment about the prices being 'way too high'.,1,Strongly negative sentiment due to complaint about high prices.,0,Error: Extra data: line 5 column 1 (char 424)
27,"I have been to this place twice so far.  The first time I had no idea what to expect since I never heard of it before.  I honestly have no idea what to compare it to but I guess the closest thing is Texas Road House judging by the reviews here on Yelp.  Anyway, I know its not the classiest joint with the best food, but anything is worth a fair shot.  The first time my wife and I went we were in the area doing some shopping and just wanted something quick and casual for dinner.  We didn't expect anything great but to be honest our expectations were exceeded.

The happy hour is pretty good.  $3 pints and 2 for 1 cocktails/wine.  Both times we went we ordered a 2 for 1 drink which would have been ok if they didn't charge too much for the first one.  I mean $5 for a small glass of Yellow Tail?  They are giving you 2 though so I can't complain too much I guess.

The thing we love about this place is the 2 meals for $13.99 special they have going on.  There are some pretty good options if you stay away from the fried stuff.  So far we have had the chop steak, steak and the salmon.  They are all very good and decently sized.  They prepare them however you want (sauce on the side, etc.) and everything comes with 2 sides.  There are 10 or so sides to choose from.  I get a side salad and some grilled onions or mushrooms to go with whatever meat I am having and they are always very good.  My wife always gets some sort of grilled vegetable and they are good as well. 

The service is very fast and friendly and the food always comes out pretty quick.  Oh yeah, and I also am a fan of their peanuts as well as the rolls that you get to start.",4,0,Error: Extra data: line 5 column 1 (char 292),4,"The review expresses mostly positive sentiment. The reviewer highlights the good value for money with the 2 meals for $13.99 special, the tasty food options, and friendly service. While there are some minor criticisms about the price of drinks, they ultimately acknowledge the positives outweigh the negatives.",0,Error: Invalid control character at: line 3 column 218 (char 243)
28,"The wood saw is always out of service...
The garden department is nice, but the staff is a little strange.

This location never seems to be busy, so check out times are short. 
The prices are higher than ""another"" home improvement store just east on Baseline.

Meh.",2,0,Error: Extra data: line 5 column 1 (char 270),2,"Mixed review with more negative than positive sentiment. Issues raised with service, staff, and pricing.",0,Error: Invalid control character at: line 3 column 52 (char 77)
